date,gold_price_eur
2013-08-28,1059.5814785549
2013-08-29,1059.5478577845
2013-08-30,1054.7535160896
2013-09-03,1070.5077624303
2013-09-04,1055.0313391365
2013-09-05,1040.1781769696
2013-09-06,1057.0674921241
2013-09-09,1052.6645242962
2013-09-10,1028.886024723
2013-09-11,1028.0942244712
2013-09-12,999.1303685488
2013-09-13,983.8383084046
2013-09-16,986.5009047326
2013-09-17,981.7845661811
2013-09-18,979.0452424445
2013-09-19,1012.6439448487
2013-09-20,984.5443220747
2013-09-23,980.3800714857
2013-09-24,974.8927916324
2013-09-25,991.6252984696
2013-09-26,979.2125055164
2013-09-27,992.4236136665
2013-09-30,982.9231783021
2013-10-01,950.8169025108
2013-10-02,976.5308564218
2013-10-03,969.3165999077
2013-10-04,961.3066636964
2013-10-07,976.2716560418
2013-10-09,961.0943025182
2013-10-10,959.0042036293
2013-10-11,937.4070464635
2013-10-14,941.5237085091
2013-10-15,938.8884073324
2013-10-16,948.1030530673
2013-10-17,978.1498384797
2013-10-18,961.7333760616
2013-10-21,961.6319392161
2013-10-22,981.6494442056
2013-10-23,968.1046348148
2013-10-24,979.7590797254
2013-10-25,979.7192133716
